house_id,house_location,fp_seg_num,fp_perimeter_len,seg_numTOunique_lengths,fp_avg_seg_len_3long,fp_avg_seg_len_3short,ratio_3lngTO3hrt,footprint_area,boundingbox_area,bbTOfp_ratio,bb_rotation,vector,bb_0_180_axis_len,bb_90_270_axis_len,bb_lngTOshrt_ratio
20,Moreton_Bay_Mixed,4,65.057,1,17.868,14.649,1.22,241.368,246.256,1.02,-82,-0.99,21.198,11.617,1.825
21,Moreton_Bay_Mixed,4,51.207,1,14.062,11.519,1.221,149.587,151.375,1.012,-80,-0.985,16.651,9.091,1.832
22,Moreton_Bay_Mixed,4,47.271,1,11.878,11.742,1.012,139.629,143.45,1.027,12,0.208,12.182,11.775,1.035
23,Moreton_Bay_Mixed,8,53.666,1,9.644,3.822,2.523,147.097,182.495,1.241,-80,-0.985,13.602,13.416,1.014
24,Moreton_Bay_Mixed,12,74.743,1,10.582,1.556,6.802,246.403,330.77,1.342,,0,18.519,17.861,1.037
25,Moreton_Bay_Mixed,6,67.252,1,15.776,6.642,2.375,245.846,280.046,1.139,60,0.866,18.949,14.779,1.282
26,Moreton_Bay_Mixed,22,97.363,1,11.761,0.748,15.72,290.681,482.702,1.661,-40,-0.643,26.542,18.186,1.459
27,Moreton_Bay_Mixed,8,75.048,1,17.359,0.956,18.15,334.799,341.8,1.021,-78,-0.978,22.504,15.189,1.482
28,Moreton_Bay_Mixed,12,87.784,1,12.406,1.778,6.977,387.276,474.227,1.225,66,0.914,25.114,18.883,1.33
29,Moreton_Bay_Mixed,8,63.736,1,15.399,2.487,6.192,174.705,195.766,1.121,20,0.342,23.35,8.384,2.785
30,Moreton_Bay_Mixed,16,83.023,1,14.029,1.217,11.526,333.106,398.66,1.197,-80,-0.985,26.322,15.145,1.738
31,Moreton_Bay_Mixed,8,82.907,1,18.181,3.021,6.018,345.326,422.104,1.222,86,0.998,24.195,17.446,1.387
32,Moreton_Bay_Mixed,8,67.982,1,13.461,3.858,3.489,250.281,288.38,1.152,-82,-0.99,18.294,15.764,1.161
33,Moreton_Bay_Mixed,4,40.578,1,10.803,9.472,1.14,99.013,100.925,1.019,-88,-0.999,12.221,8.259,1.48
34,Moreton_Bay_Mixed,10,66.36,1,14.693,1.45,10.132,221.704,276.216,1.246,20,0.342,17.737,15.573,1.139
35,Moreton_Bay_Mixed,12,53.311,1,8.319,0.866,9.607,151.241,172.788,1.142,-4,-0.07,16.237,10.641,1.526
36,Moreton_Bay_Mixed,20,64.959,1,8.714,0.871,10.01,187.047,246.11,1.316,-78,-0.978,17.302,14.225,1.216
37,Moreton_Bay_Mixed,4,51.642,1,13.468,12.305,1.094,164.004,169.027,1.031,-66,-0.914,14.725,11.479,1.283
38,Moreton_Bay_Mixed,22,62.768,1,7.636,0.436,17.524,170.055,228.789,1.345,-26,-0.438,19.498,11.734,1.662
39,Moreton_Bay_Mixed,10,62.63,1,10.539,2.395,4.4,186.645,246.44,1.32,24,0.407,16.825,14.647,1.149
40,Moreton_Bay_Mixed,14,84.823,1,10.629,1.444,7.361,282.135,451.085,1.599,-84,-0.995,22.81,19.776,1.153
41,Moreton_Bay_Mixed,8,64.353,1,11.221,4.394,2.554,212.932,258.792,1.215,-80,-0.985,17.645,14.667,1.203
42,Moreton_Bay_Mixed,10,68.264,1,11.326,3.025,3.744,215.92,297.282,1.377,24,0.407,17.706,16.79,1.055
43,Moreton_Bay_Mixed,16,87.403,1,12.083,0.725,16.662,271.497,402.291,1.482,4,0.07,27.324,14.723,1.856
44,Moreton_Bay_Mixed,8,72.834,1,16.253,2.602,6.246,282.586,335.485,1.187,-80,-0.985,19.429,17.267,1.125
45,Moreton_Bay_Mixed,12,71.783,1,12.751,1.567,8.139,240.387,315.025,1.31,-82,-0.99,21.387,14.73,1.452
46,Moreton_Bay_Mixed,10,65.569,1,12.638,2.397,5.273,202.072,271.537,1.344,76,0.97,18.167,14.947,1.215
47,Moreton_Bay_Mixed,4,49.54,1,13.631,11.133,1.224,139.42,143.875,1.032,-26,-0.438,16.222,8.869,1.829
48,Moreton_Bay_Mixed,8,73.971,1,15.872,2.776,5.717,269.43,290.058,1.077,-82,-0.99,25.992,11.159,2.329
49,Moreton_Bay_Mixed,12,58.568,1,11.598,0.658,17.635,167.791,180.791,1.077,66,0.914,20.497,8.821,2.324
50,Moreton_Bay_Mixed,16,57.252,1,10.098,0.62,16.282,176.134,206.58,1.173,-34,-0.559,15.221,13.572,1.121
51,Moreton_Bay_Mixed,14,84.261,1,14.252,1.45,9.832,343.461,396.107,1.153,-42,-0.669,24.509,16.162,1.516
52,Moreton_Bay_Mixed,6,42.972,1,9.939,4.385,2.267,105.956,116.931,1.104,-62,-0.883,12.038,9.713,1.239
53,Moreton_Bay_Mixed,6,50.852,1,11.607,5.343,2.172,148.696,160.812,1.081,10,0.174,13.911,11.56,1.203
54,Moreton_Bay_Mixed,14,72.707,1,11.878,1.441,8.244,184.645,244.599,1.325,8,0.139,16.468,14.853,1.109
55,Moreton_Bay_Mixed,10,50.884,1,10.585,1.077,9.827,145.272,163.459,1.125,-82,-0.99,13.178,12.404,1.062
56,Moreton_Bay_Mixed,17,54.343,1,8.576,0.665,12.901,129.617,158.668,1.224,90,1,13.025,12.182,1.069
57,Moreton_Bay_Mixed,28,84.595,1,12.579,0.473,26.603,265.154,351.856,1.327,16,0.276,23.925,14.707,1.627
58,Moreton_Bay_Mixed,10,50.79,1,11.073,1.335,8.296,146.224,160.262,1.096,-80,-0.985,13.982,11.462,1.22
59,Moreton_Bay_Mixed,6,43.78,1,9.86,4.734,2.083,106.034,117.01,1.104,10,0.174,12.884,9.081,1.419
60,Moreton_Bay_Mixed,12,98.191,1,14.49,2.711,5.345,301.546,462.91,1.535,90,1,31.619,14.64,2.16
61,Moreton_Bay_Mixed,17,66.027,1,8.677,0.86,10.086,175.894,222.932,1.267,56,0.829,16.453,13.55,1.214
62,Moreton_Bay_Mixed,4,67.946,1,18.397,15.569,1.182,270.632,278.115,1.028,-26,-0.438,21.358,13.022,1.64
63,Moreton_Bay_Mixed,10,72.06,1,12.527,2.533,4.945,224.672,304.831,1.357,-54,-0.809,22.903,13.31,1.721
64,Moreton_Bay_Mixed,14,91.114,1,14.323,1.849,7.747,338.644,467.618,1.381,-84,-0.995,23.602,19.813,1.191
65,Moreton_Bay_Mixed,6,45.459,1,10.141,5.013,2.023,105.673,130.927,1.239,64,0.899,11.581,11.305,1.024
66,Moreton_Bay_Mixed,6,54.196,1,12.166,5.9,2.062,165.352,183.491,1.11,-80,-0.985,15.211,12.063,1.261
67,Moreton_Bay_Mixed,12,53.435,1,9.703,1.586,6.118,132.249,167.026,1.263,64,0.899,13.414,12.452,1.077
68,Moreton_Bay_Mixed,10,70.059,1,10.646,3.114,3.419,202.889,309.523,1.526,8,0.139,17.82,17.37,1.026
69,Moreton_Bay_Mixed,10,48.436,1,10.12,1.17,8.646,121.943,142.628,1.17,20,0.342,14.681,9.715,1.511
70,Moreton_Bay_Mixed,16,65.072,1,9.918,0.503,19.71,194.024,252.377,1.301,10,0.174,20.025,12.603,1.589
71,Moreton_Bay_Mixed,6,46.448,1,11.468,4.015,2.856,129.444,136.113,1.052,-26,-0.438,12.078,11.27,1.072
72,Moreton_Bay_Mixed,10,64.034,1,11.691,1.704,6.862,219.538,250.255,1.14,-36,-0.588,18.96,13.199,1.437
73,Moreton_Bay_Mixed,20,92.885,1,10.446,0.881,11.862,299.452,450.002,1.503,-60,-0.866,29.555,15.226,1.941
74,Moreton_Bay_Mixed,6,45.55,1,10.545,4.638,2.274,117.181,130.345,1.112,-80,-0.985,12.273,10.62,1.156
75,Moreton_Bay_Mixed,4,60.27,1,15.602,14.496,1.076,224.444,231.935,1.033,10,0.174,16.819,13.79,1.22
76,Moreton_Bay_Mixed,10,66.185,1,13.541,2.31,5.862,216.822,267.105,1.232,40,0.643,20.19,13.23,1.526
77,Moreton_Bay_Mixed,10,64.742,1,13.555,1.135,11.941,233.904,265.787,1.136,-56,-0.829,17.718,15.001,1.181
78,Moreton_Bay_Mixed,4,51.014,1,13.496,12.008,1.124,157.693,158.633,1.006,10,0.174,15.005,10.572,1.419
79,Moreton_Bay_Mixed,16,74.007,1,12.138,0.639,18.981,269.694,332.163,1.232,76,0.97,18.989,17.493,1.086
80,Moreton_Bay_Mixed,8,53.101,1,9.947,3.345,2.973,145.438,177.324,1.219,-36,-0.588,14.404,12.311,1.17
81,Moreton_Bay_Mixed,8,62.287,1,14.97,1.367,10.947,187.768,199.54,1.063,46,0.719,22.07,9.041,2.441
82,Moreton_Bay_Mixed,14,72.864,1,12.823,1.059,12.108,239.652,332.249,1.386,-26,-0.438,18.596,17.867,1.041
83,Moreton_Bay_Mixed,6,60.873,1,14.092,6.199,2.273,215.432,232.801,1.081,62,0.883,16.332,14.254,1.146
84,Moreton_Bay_Mixed,6,55.821,1,12.567,6.04,2.081,167.821,198.844,1.185,-54,-0.809,14.122,14.08,1.003
85,Moreton_Bay_Mixed,4,52.583,1,13.952,12.302,1.134,166.957,169.706,1.016,-80,-0.985,15.677,10.825,1.448
86,Moreton_Bay_Mixed,10,49.784,1,10.713,0.551,19.458,130.457,155.051,1.189,-88,-0.999,14.208,10.913,1.302
87,Moreton_Bay_Mixed,8,42.075,1,8.945,1.387,6.451,101.082,111.837,1.106,38,0.616,12.065,9.269,1.302
88,Moreton_Bay_Mixed,10,78.082,1,17.358,1.264,13.735,349.866,379.666,1.085,14,0.242,22.391,16.956,1.321
89,Moreton_Bay_Mixed,6,47.775,1,10.685,5.24,2.039,125.921,137.431,1.091,-80,-0.985,14.54,9.452,1.538
90,Moreton_Bay_Mixed,6,47.476,1,12.265,3.56,3.445,137.515,141.516,1.029,-24,-0.407,13.564,10.433,1.3
91,Moreton_Bay_Mixed,4,67.692,1,19.094,14.733,1.296,243.973,248.894,1.02,-80,-0.985,23.491,10.595,2.217
92,Moreton_Bay_Mixed,12,59.21,1,7.284,2.269,3.211,154.222,216.713,1.405,38,0.616,16.334,13.268,1.231
93,Moreton_Bay_Mixed,6,66.005,1,14.967,7.034,2.128,235.786,274.719,1.165,-36,-0.588,17.152,16.017,1.071
94,Moreton_Bay_Mixed,16,74.773,1,11.943,0.869,13.75,201.106,273.521,1.36,-64,-0.899,24.553,11.14,2.204
95,Moreton_Bay_Mixed,12,86.181,1,14.637,2.597,5.636,308.508,469.62,1.522,8,0.139,22.525,20.848,1.08
96,Moreton_Bay_Mixed,4,47.869,1,12.458,11.443,1.089,141.037,145.277,1.03,-28,-0.469,13.655,10.64,1.283
97,Moreton_Bay_Mixed,4,58.113,1,15.933,13.074,1.219,193.28,197.685,1.023,-78,-0.978,18.954,10.43,1.817
98,Moreton_Bay_Mixed,8,59.629,1,11.854,2.851,4.158,194.581,226.957,1.166,46,0.719,15.811,14.354,1.101
99,Moreton_Bay_Mixed,5,49.284,1,12.736,5.93,2.148,113.979,123.818,1.086,28,0.469,19.116,6.477,2.951
100,Moreton_Bay_Mixed,12,82.658,1,16.219,0.752,21.557,310.784,389.571,1.254,-82,-0.99,25.744,15.133,1.701
101,Moreton_Bay_Mixed,8,97.488,1,18.899,7.469,2.53,329.678,404.45,1.227,-78,-0.978,26.401,15.319,1.723
102,Moreton_Bay_Mixed,12,79.877,1,16.494,1.236,13.348,273.324,316.255,1.157,86,0.998,23.368,13.534,1.727
103,Moreton_Bay_Mixed,10,76.247,1,14.627,1.928,7.587,300.051,363.383,1.211,-42,-0.669,19.887,18.272,1.088
104,Moreton_Bay_Mixed,8,64.049,1,12.538,4.174,3.004,206.368,264.526,1.282,52,0.788,18.382,14.391,1.277
105,Moreton_Bay_Mixed,6,44.604,1,9.941,4.927,2.017,107.346,122.732,1.143,38,0.616,13.052,9.403,1.388
106,Moreton_Bay_Mixed,4,45.97,1,11.631,11.333,1.026,131.898,135.133,1.025,-68,-0.927,12.077,11.189,1.079
107,Moreton_Bay_Mixed,8,61.148,1,11.543,4.402,2.622,180.886,232.018,1.283,38,0.616,17.318,13.397,1.293
108,Moreton_Bay_Mixed,12,64.637,1,12.242,1.093,11.196,187.703,227.848,1.214,26,0.438,20.239,11.258,1.798
109,Moreton_Bay_Mixed,12,60.208,1,8.615,1.385,6.221,156.631,226.689,1.447,-80,-0.985,15.373,14.746,1.042
110,Moreton_Bay_Mixed,12,84.076,1,14.959,1.045,14.318,370.956,445.365,1.201,-24,-0.407,22.217,20.046,1.108
111,Moreton_Bay_Mixed,4,44.172,1,11.457,10.542,1.087,120.33,123.449,1.026,38,0.616,12.545,9.841,1.275
112,Moreton_Bay_Mixed,4,54.527,1,15.394,11.861,1.298,157.859,158.536,1.004,-80,-0.985,18.953,8.365,2.266
113,Moreton_Bay_Mixed,8,61.789,1,12.949,2.369,5.467,225.948,241.247,1.068,76,0.97,15.95,15.125,1.055
114,Moreton_Bay_Mixed,8,56.451,1,11.484,2.242,5.121,174.137,182.023,1.045,84,0.995,18.841,9.661,1.95
115,Moreton_Bay_Mixed,16,74.179,1,11.542,0.982,11.752,239.834,278.805,1.162,-82,-0.99,17.375,16.047,1.083
116,Moreton_Bay_Mixed,10,56.509,1,11.732,1.731,6.779,165.385,198.592,1.201,-78,-0.978,16.408,12.103,1.356
117,Moreton_Bay_Mixed,14,70.015,1,8.475,1.038,8.163,205.133,302.502,1.475,-80,-0.985,19.85,15.239,1.303
118,Moreton_Bay_Mixed,14,73.431,1,12.633,0.726,17.405,270.582,325.708,1.204,-2,-0.035,21.713,15.001,1.447
119,Moreton_Bay_Mixed,4,39.89,1,10.805,9.176,1.177,93.741,96.346,1.028,8,0.139,12.405,7.767,1.597
120,Moreton_Bay_Mixed,10,51.154,1,9.277,1.156,8.025,135.133,152.844,1.131,-68,-0.927,16.369,9.337,1.753
121,Moreton_Bay_Mixed,14,63.704,1,8.575,1.217,7.045,211.419,256.598,1.214,10,0.174,16.431,15.616,1.052
122,Moreton_Bay_Mixed,12,59.117,1,8.897,1.8,4.943,162.484,219.138,1.349,-82,-0.99,16.522,13.263,1.246
123,Moreton_Bay_Mixed,4,44.897,1,11.805,10.637,1.11,122.948,126.61,1.03,38,0.616,13.112,9.656,1.358
124,Moreton_Bay_Mixed,12,53.731,1,8.832,0.851,10.382,154.669,181.788,1.175,-66,-0.914,14.691,12.374,1.187
125,Moreton_Bay_Mixed,13,58.554,1,7.89,1.288,6.126,179.547,216.744,1.207,-80,-0.985,14.848,14.597,1.017
126,Moreton_Bay_Mixed,6,58.723,1,13.385,6.189,2.163,137.953,192.366,1.394,34,0.559,20.235,9.507,2.128
127,Moreton_Bay_Mixed,8,62.72,1,13.461,2.128,6.325,233.513,250.832,1.074,46,0.719,16.093,15.587,1.032
128,Moreton_Bay_Mixed,6,42.558,1,10.878,3.308,3.288,115.256,123.832,1.074,8,0.139,14.066,8.804,1.598
129,Moreton_Bay_Mixed,10,42.293,1,7.776,1.199,6.483,94.996,110.597,1.164,-70,-0.94,12.165,9.091,1.338
130,Moreton_Bay_Mixed,20,97.321,1,11.709,0.719,16.282,333.02,418.98,1.258,-82,-0.99,32.621,12.844,2.54
131,Moreton_Bay_Mixed,10,45.031,1,8.84,0.547,16.155,104.462,122.552,1.173,-88,-0.999,13.345,9.183,1.453
132,Moreton_Bay_Mixed,8,54.252,1,11.137,2.674,4.165,164.281,187.464,1.141,-24,-0.407,15.143,12.38,1.223
133,Moreton_Bay_Mixed,6,66.635,1,16.087,6.124,2.627,258.097,276.871,1.073,80,0.985,16.787,16.493,1.018
134,Moreton_Bay_Mixed,14,83.166,1,12.571,0.925,13.586,263.739,422.035,1.6,-26,-0.438,25.058,16.842,1.488
135,Moreton_Bay_Mixed,12,60.676,1,10.734,1.429,7.51,200.84,232.344,1.157,56,0.829,15.46,15.029,1.029
136,Moreton_Bay_Mixed,12,55.391,1,8.45,0.991,8.524,137.071,190.286,1.388,-86,-0.998,15.275,12.458,1.226
137,Moreton_Bay_Mixed,8,61.38,1,13.394,2.35,5.698,218.063,238.88,1.095,10,0.174,17.175,13.909,1.235
138,Moreton_Bay_Mixed,4,38.799,1,9.91,9.477,1.046,93.686,94.454,1.008,-52,-0.788,10.369,9.109,1.138
139,Moreton_Bay_Mixed,4,39.461,1,10.668,9.054,1.178,91.52,94.668,1.034,20,0.342,12.367,7.655,1.616
140,Moreton_Bay_Mixed,6,51.673,1,11.682,5.543,2.108,146.926,167.812,1.142,-32,-0.53,14.529,11.55,1.258
141,Moreton_Bay_Mixed,4,49.537,1,12.877,11.876,1.084,151.187,152.963,1.012,-52,-0.788,13.908,10.998,1.265
142,Moreton_Bay_Mixed,4,77.652,1,19.994,18.856,1.06,374.074,376.05,1.005,-10,-0.174,21.105,17.818,1.184
143,Moreton_Bay_Mixed,10,56.337,1,9.832,1.811,5.428,168.188,199.311,1.185,-82,-0.99,15.148,13.158,1.151
144,Moreton_Bay_Mixed,12,58.875,1,7.542,0.593,12.712,183.585,268.411,1.462,-78,-0.978,19.506,13.761,1.418
145,Moreton_Bay_Mixed,10,56.693,1,11.513,2.089,5.511,167.392,202.711,1.211,6,0.105,16.082,12.605,1.276
146,Moreton_Bay_Mixed,14,59.53,1,10.942,0.309,35.425,190.158,224.978,1.183,-74,-0.961,15.774,14.262,1.106
147,Moreton_Bay_Mixed,8,51.98,1,12.623,1.611,7.837,140.851,149.83,1.064,76,0.97,17.721,8.455,2.096
148,Moreton_Bay_Mixed,12,65.725,1,11.722,0.501,23.408,218.302,272.498,1.248,8,0.139,17.602,15.481,1.137
149,Moreton_Bay_Mixed,4,44.91,1,12.019,10.467,1.148,120.854,122.324,1.012,6,0.105,13.53,9.041,1.496
150,Moreton_Bay_Mixed,18,60.976,1,7.529,0.439,17.133,138.305,173.176,1.252,22,0.375,15.666,11.054,1.417
151,Moreton_Bay_Mixed,6,61.065,1,13.874,6.481,2.141,178.268,234.627,1.316,-82,-0.99,16.862,13.914,1.212
152,Moreton_Bay_Mixed,4,51.436,1,14.179,11.535,1.229,149.681,151.317,1.011,-80,-0.985,16.868,8.971,1.88
153,Moreton_Bay_Mixed,8,50.576,1,9.081,3.304,2.748,134.642,164.064,1.219,-70,-0.94,13.535,12.122,1.117
154,Moreton_Bay_Mixed,8,57.082,1,12.21,3.001,4.069,177.823,204.404,1.149,10,0.174,16.3,12.54,1.3
155,Moreton_Bay_Mixed,4,44.506,1,12.5,9.729,1.285,106.817,110.665,1.036,10,0.174,15.402,7.185,2.144
156,Moreton_Bay_Mixed,10,61.664,1,10.706,2.604,4.112,167.83,235.154,1.401,66,0.914,17.439,13.484,1.293
157,Moreton_Bay_Mixed,10,63.547,1,11.043,2.155,5.125,197.7,247.867,1.254,62,0.883,18.889,13.122,1.439
158,Moreton_Bay_Mixed,4,84.011,1,23.591,18.399,1.282,380.796,388.288,1.02,-82,-0.99,28.904,13.434,2.152
159,Moreton_Bay_Mixed,14,82.919,1,16.204,0.961,16.858,290.396,376.68,1.297,18,0.309,28.573,13.183,2.167
160,Moreton_Bay_Mixed,14,89.984,1,12.639,2.205,5.732,291.874,496.97,1.703,42,0.669,25.349,19.605,1.293
161,Moreton_Bay_Mixed,8,61.099,1,12.549,3.245,3.867,150.525,163.554,1.087,-10,-0.174,18.658,8.766,2.128
162,Moreton_Bay_Mixed,4,68.677,1,19.279,15.054,1.281,254.713,256.335,1.006,-80,-0.985,23.514,10.901,2.157
163,Moreton_Bay_Mixed,14,55.475,1,8.375,1.067,7.852,140.006,192.824,1.377,-42,-0.669,15.228,12.663,1.203
164,Moreton_Bay_Mixed,16,76.633,1,10.851,0.342,31.708,290.795,363.251,1.249,10,0.174,20.907,17.374,1.203
165,Moreton_Bay_Mixed,16,91.675,1,10.886,1.328,8.197,257.349,374.322,1.455,16,0.276,22.533,16.612,1.356
166,Moreton_Bay_Mixed,8,60.557,1,15.033,2.115,7.108,214.895,227.469,1.059,88,0.999,17.278,13.165,1.312
167,Moreton_Bay_Mixed,12,63.541,1,11.114,1.523,7.3,207.591,256.547,1.236,8,0.139,17.212,14.905,1.155
168,Moreton_Bay_Mixed,17,86.01,1,12.2,0.79,15.446,248.152,331.243,1.335,14,0.242,18.39,18.012,1.021
169,Moreton_Bay_Mixed,8,82.35,1,20.62,2.293,8.994,362.74,389.704,1.074,-24,-0.407,27.788,14.024,1.981
170,Moreton_Bay_Mixed,6,58.561,1,13.275,6.245,2.126,156.929,212.484,1.354,20,0.342,16.481,12.892,1.278
171,Moreton_Bay_Mixed,10,51.469,1,9.323,0.764,12.208,138.383,156.111,1.128,58,0.848,16.656,9.373,1.777
172,Moreton_Bay_Mixed,14,57.219,1,10.003,0.697,14.358,135.242,201.958,1.493,-26,-0.438,16.436,12.288,1.338
173,Moreton_Bay_Mixed,10,62.935,1,11.805,2.076,5.686,204.069,247.763,1.214,-72,-0.951,17.657,14.032,1.258
174,Moreton_Bay_Mixed,10,46.243,1,10.722,0.883,12.149,111.942,127.762,1.141,-80,-0.985,14.446,8.844,1.633
175,Moreton_Bay_Mixed,12,78.809,1,13.04,1.542,8.458,245.995,327.994,1.333,-80,-0.985,21.361,15.355,1.391
176,Moreton_Bay_Mixed,7,65.302,1,15.309,2.611,5.864,241.464,254.098,1.052,-4,-0.07,20.9,12.158,1.719
177,Moreton_Bay_Mixed,8,73.018,1,15.029,3.413,4.404,282.912,325.999,1.152,8,0.139,21.309,15.299,1.393
178,Moreton_Bay_Mixed,8,41.893,1,8.801,1.998,4.405,98.335,110.954,1.128,-66,-0.914,11.207,9.901,1.132
179,Moreton_Bay_Mixed,10,58.955,1,12.383,1.727,7.169,178.566,210.942,1.181,-82,-0.99,18.158,11.617,1.563
180,Moreton_Bay_Mixed,6,59.791,1,14.141,5.789,2.443,209.068,226.075,1.081,-82,-0.99,16.007,14.123,1.133
181,Moreton_Bay_Mixed,8,56.335,1,12.432,0.777,15.997,166.065,178.716,1.076,-54,-0.809,19.21,9.303,2.065
182,Moreton_Bay_Mixed,8,51.1,1,10.343,2.473,4.182,136.106,159.01,1.168,8,0.139,14.982,10.613,1.412
183,Moreton_Bay_Mixed,6,72.985,1,17.135,7.193,2.382,305.55,338.518,1.108,-80,-0.985,18.783,18.023,1.042
184,Moreton_Bay_Mixed,10,57.35,1,9.519,1.593,5.976,150.766,205.883,1.366,20,0.342,15.802,13.029,1.213
185,Moreton_Bay_Mixed,10,55.311,1,9.301,2.025,4.593,137.476,189.32,1.377,-68,-0.927,15.555,12.171,1.278
186,Moreton_Bay_Mixed,4,59.483,1,17.052,12.686,1.344,178.327,179.632,1.007,10,0.174,21.425,8.384,2.555
187,Moreton_Bay_Mixed,6,51.35,1,12.72,4.396,2.893,162.969,171.629,1.053,32,0.53,13.287,12.917,1.029
188,Moreton_Bay_Mixed,4,66.379,1,18.593,14.575,1.276,239.444,248.444,1.038,-82,-0.99,22.793,10.9,2.091
189,Moreton_Bay_Mixed,4,74.048,1,18.969,18.027,1.052,340.805,352.098,1.033,-82,-0.99,20.111,17.508,1.149
190,Moreton_Bay_Mixed,4,38.719,1,9.771,9.586,1.019,93.623,96.819,1.034,-10,-0.174,10.116,9.571,1.057
191,Moreton_Bay_Mixed,8,66.212,1,13.548,3.459,3.917,193.133,247.733,1.283,8,0.139,21.841,11.342,1.926
192,Moreton_Bay_Mixed,16,56.277,1,7.22,0.48,15.039,157.24,191.028,1.215,-80,-0.985,17.106,11.167,1.532
193,Moreton_Bay_Mixed,10,64.691,1,11.92,1.752,6.802,197.629,230.606,1.167,28,0.469,22.031,10.467,2.105
194,Moreton_Bay_Mixed,8,48.579,1,10.581,1.434,7.377,135.543,150.553,1.111,-32,-0.53,12.684,11.869,1.069
195,Moreton_Bay_Mixed,6,53.783,1,11.502,6.426,1.79,140.016,183.88,1.313,10,0.174,13.759,13.365,1.029
196,Moreton_Bay_Mixed,16,73.802,1,11.254,0.904,12.445,265.098,290.927,1.097,-70,-0.94,21.62,13.457,1.607
197,Moreton_Bay_Mixed,16,92.9,1,11.409,1.544,7.391,375.33,537.411,1.432,10,0.174,24.984,21.511,1.161
198,Moreton_Bay_Mixed,10,66.388,1,12.421,1.09,11.395,215.305,275.902,1.281,-82,-0.99,18.133,15.216,1.192
199,Moreton_Bay_Mixed,12,79.919,1,16.033,0.855,18.745,365.617,386.158,1.056,-82,-0.99,22.153,17.431,1.271
200,Moreton_Bay_Mixed,16,76.276,1,13.592,0.787,17.276,249.211,322.529,1.294,-80,-0.985,23.712,13.602,1.743
201,Moreton_Bay_Mixed,26,89.075,1,10.655,0.351,30.391,352.866,391.916,1.111,-82,-0.99,27.45,14.277,1.923
202,Moreton_Bay_Mixed,12,45.008,1,9.194,0.518,17.756,109.188,120.643,1.105,-80,-0.985,13.719,8.794,1.56
203,Moreton_Bay_Mixed,8,56.59,1,11.802,3.503,3.37,157.397,192.976,1.226,70,0.94,17.771,10.859,1.636
